2024-02-17 12:19:50,005 INFO    MainThread:75070 [wandb_setup.py:_flush():76] Current SDK version is 0.16.2
2024-02-17 12:19:50,006 INFO    MainThread:75070 [wandb_setup.py:_flush():76] Configure stats pid to 75070
2024-02-17 12:19:50,006 INFO    MainThread:75070 [wandb_setup.py:_flush():76] Loading settings from /home/vl/.config/wandb/settings
2024-02-17 12:19:50,006 INFO    MainThread:75070 [wandb_setup.py:_flush():76] Loading settings from /home/vl/Documents/4A/machine_learning/td1_rl/mso_3_4-td1/wandb/settings
2024-02-17 12:19:50,006 INFO    MainThread:75070 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-02-17 12:19:50,006 INFO    MainThread:75070 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-02-17 12:19:50,006 INFO    MainThread:75070 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'hands-on-rl/a2c_sb3_panda_reach.py', 'program_abspath': '/home/vl/Documents/4A/machine_learning/td1_rl/mso_3_4-td1/hands-on-rl/a2c_sb3_panda_reach.py', 'program': '/home/vl/Documents/4A/machine_learning/td1_rl/mso_3_4-td1/hands-on-rl/a2c_sb3_panda_reach.py'}
2024-02-17 12:19:50,006 INFO    MainThread:75070 [wandb_init.py:_log_setup():526] Logging user logs to /home/vl/Documents/4A/machine_learning/td1_rl/mso_3_4-td1/wandb/run-20240217_121949-idto7wva/logs/debug.log
2024-02-17 12:19:50,007 INFO    MainThread:75070 [wandb_init.py:_log_setup():527] Logging internal logs to /home/vl/Documents/4A/machine_learning/td1_rl/mso_3_4-td1/wandb/run-20240217_121949-idto7wva/logs/debug-internal.log
2024-02-17 12:19:50,007 INFO    MainThread:75070 [wandb_init.py:init():566] calling init triggers
2024-02-17 12:19:50,007 INFO    MainThread:75070 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {}
2024-02-17 12:19:50,007 INFO    MainThread:75070 [wandb_init.py:init():616] starting backend
2024-02-17 12:19:50,007 INFO    MainThread:75070 [wandb_init.py:init():620] setting up manager
2024-02-17 12:19:50,009 INFO    MainThread:75070 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-02-17 12:19:50,012 INFO    MainThread:75070 [wandb_init.py:init():628] backend started and connected
2024-02-17 12:19:50,016 INFO    MainThread:75070 [wandb_init.py:init():720] updated telemetry
2024-02-17 12:19:50,022 INFO    MainThread:75070 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-02-17 12:19:50,614 INFO    MainThread:75070 [wandb_run.py:_on_init():2254] communicating current version
2024-02-17 12:19:50,725 INFO    MainThread:75070 [wandb_run.py:_on_init():2263] got version response upgrade_message: "wandb version 0.16.3 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-02-17 12:19:50,725 INFO    MainThread:75070 [wandb_init.py:init():804] starting run threads in backend
2024-02-17 12:19:50,768 INFO    MainThread:75070 [wandb_run.py:_console_start():2233] atexit reg
2024-02-17 12:19:50,769 INFO    MainThread:75070 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-02-17 12:19:50,769 INFO    MainThread:75070 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-02-17 12:19:50,769 INFO    MainThread:75070 [wandb_run.py:_redirect():2178] Redirects installed.
2024-02-17 12:19:50,769 INFO    MainThread:75070 [wandb_init.py:init():847] run started, returning control to user process
2024-02-17 12:19:52,320 INFO    MainThread:75070 [wandb_run.py:_tensorboard_callback():1498] tensorboard callback: ./a2c_pandareach_tensorboard/training_panda_reach_2, True
